Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,0.155154,0.155154,0.155154,0.155154,0.155154,0
2021-10-07,0.155154,0.155154,0.155142,0.155154,0.155154,0
2021-10-08,0.155154,0.155504,0.155029,0.155154,0.155154,0
2021-10-11,0.155224,0.155637,0.155046,0.155224,0.155224,0
2021-10-12,0.155048,0.155296,0.154871,0.155048,0.155048,0
2021-10-13,0.155087,0.155615,0.155034,0.155087,0.155087,0
2021-10-14,0.155603,0.155603,0.155304,0.155603,0.155603,0
2021-10-15,0.155304,0.155758,0.155292,0.155304,0.155304,0
2021-10-18,0.155405,0.155751,0.155320,0.155405,0.155405,0
2021-10-19,0.155548,0.156944,0.155548,0.155548,0.155548,0
2021-10-20,0.156696,0.156713,0.156335,0.156696,0.156696,0
2021-10-21,0.156424,0.156583,0.156221,0.156424,0.156424,0
2021-10-22,0.156450,0.156863,0.156255,0.156450,0.156450,0
2021-10-25,0.156644,0.156910,0.156480,0.156644,0.156644,0
2021-10-26,0.156624,0.156964,0.156612,0.156624,0.156624,0
2021-10-27,0.156703,0.156870,0.156357,0.156703,0.156703,0
2021-10-28,0.156455,0.156566,0.156157,0.156455,0.156455,0
2021-10-29,0.156485,0.156698,0.156084,0.156485,0.156485,0
2021-11-01,0.156133,0.156573,0.156106,0.156135,0.156135,0
2021-11-02,0.156343,0.156531,0.156238,0.156343,0.156343,0
2021-11-03,0.156277,0.156602,0.156111,0.156277,0.156277,0
2021-11-04,0.156099,0.156477,0.156096,0.156099,0.156099,0
2021-11-05,0.156338,0.156475,0.156172,0.156338,0.156338,0
2021-11-08,0.156301,0.156674,0.156274,0.156301,0.156301,0
2021-11-09,0.156455,0.156750,0.156348,0.156455,0.156455,0
2021-11-10,0.156453,0.156710,0.156404,0.156453,0.156453,0
2021-11-11,0.156541,0.156548,0.156084,0.156541,0.156541,0
2021-11-12,0.156507,0.156954,0.156345,0.156507,0.156507,0
2021-11-15,0.156772,0.156796,0.156639,0.156774,0.156774,0
