,distributions,SSE,AIC,BIC,params
33,f,384.10614297468055,189.60163932215437,-556.7609215207419,"(5361885.487384738, 1126883.1205784604, -16.689044016535263, 16.68969040343165)"
34,betaprime,384.2461217098972,193.57104907999303,-556.4701615735853,"(361367.6888221472, 236002.2668229302, -9.2218461952978, 6.02298152906838)"
35,weibull_min,391.4071095031183,71.84594487751876,-548.4172561411411,"(7.142309835289649, -0.15664948848965027, 0.1673526067753603)"
36,geninvgauss,394.41517340576047,207.43501984741988,-535.6257592733043,"(2222.861920746137, 3413.570852154464, -1.5636560957492645, 0.8480525020184881)"
37,chi,428.34451037474275,220.9061486259092,-476.4539485130709,"(78.65859008729777, -0.31121189013300166, 0.03525631470781568)"
38,alpha,445.7587899067123,262.1770882996796,-444.65351019378835,"(38.516613160495794, -0.9617471485569591, 37.048123482518236)"
39,recipinvgauss,450.98103243471655,255.12158531600465,-435.35895999046414,"(0.0023111975272239217, -0.5204422268232489, 0.0012013100268061512)"
40,invgamma,459.2450162119787,274.0037459809612,-420.86840509978987,"(602.351580356303, -0.6099067996354308, 366.93063357905885)"
41,laplace_asymmetric,459.52649311944486,-62.59196882322645,-420.3794509323955,"(1.214827432978971, 0.007679347597330547, 0.017875749529560496)"
42,loglaplace,464.47684971546687,-86.00700473756375,-411.8287841177137,"(211455764.47977632, -4414206.261565069, 4414206.264015846)"
43,chi2,502.0447276215686,152.35424051485785,-349.7623417454118,"(735.123903690755, -0.5059259004422638, 0.0006893381203729562)"
44,weibull_max,546.5229066974056,218.2136060688708,-282.0225098066439,"(3.640371586483438, 0.08725482584600326, 0.09541453783579579)"
45,laplace,558.6321407675744,-40.44921224805662,-271.2164740068504,"(0.0024391470721316644, 0.018410808564000805)"
46,invgauss,569.6964708086657,361.1827507588039,-248.883573081497,"(0.00961584406573807, -0.2651471375216089, 27.571421217083966)"
47,skewcauchy,579.7488725468481,-117.28007837584367,-234.92549990680934,"(-0.21288918374367677, 0.008078805922752317, 0.013191541394379391)"
48,gumbel_l,582.8879065394229,-12.841640467159223,-237.29851514362144,"(0.012436377773769129, 0.024108161298143773)"
49,cauchy,654.368089301922,-110.26808011915091,-144.98976696535516,"(0.0030283892664369114, 0.013379072224054371)"
50,rayleigh,865.571286854825,inf,78.22656588850332,"(-0.025659808694340886, 0.025372239902550064)"
51,exponpow,890.0864863661504,-3.6958015511867224,107.19593471779768,"(3.8001701013988702, -0.1353021472123615, 0.16318099206748823)"
52,gumbel_r,1293.9817991706864,564.1356413497049,399.0941251359731,"(-0.011971633242492017, 0.03099278502134209)"
53,invweibull,1311.3745048786989,519.7242836834785,416.4308880085602,"(8913.157212707873, -280.80982789409336, 280.7980946261012)"
54,gausshyper,1320.1963471932156,80.57264161109481,441.82752122872444,"(10.485642232439563, 23.081183105951, -14.712646147028103, -0.9402850078373408, -0.13507230044058327, 0.6167482543449903)"
55,moyal,1841.5266359379718,590.750572167436,680.6850160636609,"(-0.017683802859144095, 0.024378502868040948)"
56,triang,1911.5383958805387,-244.77209948862003,717.1432495199946,"(0.6622820041362951, -0.13098877278158189, 0.2149793973760491)"
57,kstwobign,2189.0784480724296,229.71127443215914,818.6478319873617,"(-0.16058343837162503, 0.19042874592236458)"
58,maxwell,2650.1888059715225,-219.2202161798341,971.18571528496,"(-0.13104083889620585, 0.07734182836390366)"
59,argus,2758.0863324911893,-263.1100379746464,1009.7129686541062,"(9.168776840431697e-05, -0.1310335742667326, 0.21468812622912453)"
60,genhalflogistic,3401.650303912111,-298.0677402458028,1177.0724141525848,"(0.7390864614462012, -0.13062888777124368, 0.1583112627570018)"
61,kappa3,3684.2823526092443,-239.31244179023906,1240.7648328592277,"(24.45231908747931, -0.1306288805361468, 0.15471142957282108)"
62,halfgennorm,3735.2029055002254,-249.13966706796043,1251.7184874055322,"(13.821910082632755, -0.13062921096540303, 0.1870424606553862)"
63,trapz,3741.557019983383,-248.92446643096787,1259.7569548078188,"(0.9999999999999996, 1.0, -0.1596484555661219, 0.2570072117295227)"
64,trapezoid,3741.557019983383,-248.92446643096787,1259.7569548078188,"(0.9999999999999996, 1.0, -0.1596484555661219, 0.2570072117295227)"
65,powerlaw,3748.4648102121632,-248.68256725917732,1254.5467826854406,"(1.9548986640256962, -0.13142334752855322, 0.21496714367598585)"
66,ncx2,3841.726635789552,-242.4648350844033,1280.840170653321,"(4.801908180048389, 7.647206023720131e-08, -0.1309000397339135, 0.027391987226217912)"
67,genexpon,3960.0195371170375,-243.0358149281455,1311.7232640280138,"(0.013543427035004187, 3.8956371760140156, 4.517960107693288, -0.13062888203074896, 0.3216488469155151)"
68,uniform,4045.8390805162944,-304.19453801404245,1308.7860635005911,"(-0.1306288805140844, 0.21417267644126892)"
